state,broad_type,commodity,source_year,feature_count,area_ha
SA,Animals,sheep stud,2016,5,89.889290213641
SA,Animals,sheep wool,2016,57,2621.079279542781
SA,Animals,turkeys,2016,1,1.14997005463
SA,Cereals,barley,2016,383,18305.71889355565
SA,Cereals,oats,2016,390,9744.427387595519
SA,Cereals,rye cereal,2016,18,311.64848065388003
SA,Cereals,triticale,2016,12,143.51900124544
SA,Cereals,wheat,2016,629,33728.54187715133
SA,Flowers and bulbs,lavender,2016,2,3.81793010235
SA,Flowers and bulbs,orchids,2016,2,6.128200292579999
SA,Flowers and bulbs,roses,2016,13,43.194362282746
SA,Flowers and bulbs,turf,2014,2,11.820279598239999
SA,Flowers and bulbs,turf,2015,18,248.64712774744
SA,Flowers and bulbs,turf,2016,1,4.0995798111
SA,Forest,christmas trees,2016,8,31.235406517999
SA,Fruits,apples,2016,133,760.558373958089
SA,Fruits,apricots,2016,7,34.769308432961
SA,Fruits,avocados,2023,91,405.216673851072
SA,Fruits,blackberries,2016,1,2.02095007896
SA,Fruits,blueberries,2016,1,8.02385044098
SA,Fruits,cherries,2016,58,293.656916618324
SA,Fruits,citrus,2022,6,11.115224122997
SA,Fruits,citrus,2023,494,6703.238646448055
SA,Fruits,dates,2016,1,0.925149977207
SA,Fruits,figs,2016,1,2.89141988754
SA,Fruits,grapes,2014,348,17996.791889696757
SA,Fruits,grapes,2015,1328,31875.29984091303
SA,Fruits,grapes,2016,881,11429.770560715597
SA,Fruits,grapes dried,2016,1,1.48315000534
SA,Fruits,grapes wine,2016,1018,20539.885971888176
SA,Fruits,mangoes,2020,2,4.73393797874
SA,Fruits,mulberries,2016,1,1.49899995327
SA,Fruits,olives,2019,47,522.124140202976
SA,Fruits,olives,2020,493,2443.73553496567
SA,Fruits,olives,2021,284,3126.102419674494
SA,Fruits,olives,2022,14,53.37673914434
SA,Fruits,peaches,2016,1,1.13248002529
SA,Fruits,pears,2016,35,391.08164575729796
SA,Fruits,plums,2016,1,2.05824995041
SA,Fruits,pomegranate,2016,3,5.65043008328
SA,Fruits,quinces,2016,2,2.900638043879
SA,Fruits,raspberries,2016,1,0.396919995546
SA,Fruits,strawberries,2016,17,183.725529074642
SA,Nuts,almonds,2016,81,795.445141374949
SA,Nuts,pecans,2016,1,4.21480989456
SA,Nuts,pistachios,2016,1,3.3418700695
SA,Nuts,walnuts,2016,1,3.43792009354
SA,Oilseeds,canola,2016,53,2090.70864963484
SA,Pasture,lucerne,2016,35,744.75162076942
SA,Pulses,chickpeas,2016,20,635.20563459384
SA,Pulses,field beans,2016,25,917.4527940752
SA,Pulses,field peas,2016,35,1438.1015076634899
SA,Pulses,lentils,2016,151,12879.22226631521
SA,Pulses,lupins,2016,21,604.9464783667
SA,Pulses,vetches,2016,19,380.64640235935
SA,Vegetables and herbs,artichokes,2016,1,1.06745994091
SA,Vegetables and herbs,beans,2016,73,2363.85503053701
SA,Vegetables and herbs,cabbages,2016,1,3.96092009544
SA,Vegetables and herbs,carrots,2016,5,56.27471995354
SA,Vegetables and herbs,cauliflowers,2016,5,25.70796966553
SA,Vegetables and herbs,chicory,2016,7,53.35779929161
SA,Vegetables and herbs,cucumbers,2016,1,3.68060994148
SA,Vegetables and herbs,eggplants,2016,1,8.35276985168
SA,Vegetables and herbs,herbs,2016,1,1.68746995926
SA,Vegetables and herbs,lettuces,2016,2,5.57174003124
SA,Vegetables and herbs,mushrooms,2016,1,3.65143990517
SA,Vegetables and herbs,onions,2016,2,35.26383185383
SA,Vegetables and herbs,parsnips,2016,2,6.6185798645
SA,Vegetables and herbs,peas,2016,76,3170.99402558838
SA,Vegetables and herbs,potatoes,2016,39,582.37065947049
SA,Vegetables and herbs,rhubarb,2016,1,1.29886996746
SA,Vegetables and herbs,tomatoes,2016,6,116.193521439964
SA,Vegetables and herbs,truffles,2021,1,1.59275996685
SA,Vegetables and herbs,truffles,2022,1,1.7490799427
SA,Vegetables and herbs,vegetables,2016,2,5.957599878310001
Tas,Animals,abalone,2020,1,6.2920999527
Tas,Animals,alpacas,2011,1,3.92968010902
Tas,Animals,cattle,2010,2,40.46001148219
Tas,Animals,cattle,2011,3,70.5663022995
Tas,Animals,cattle,2013,1,16.6765003204
Tas,Animals,cattle,2015,3,75.4052009582
Tas,Animals,cattle,2016,4,105.84438085546999
Tas,Animals,cattle,2017,10,1170.26143384026
Tas,Animals,cattle,2018,12,578.4576597217
Tas,Animals,cattle,2019,2,35.1807003022
Tas,Animals,cattle,2022,5,343.86784791981
Tas,Animals,cattle dairy,2008,33,1155.37687158596
Tas,Animals,cattle dairy,2009,49,2313.97519803185
Tas,Animals,cattle dairy,2010,302,13816.970135150645
Tas,Animals,cattle dairy,2011,28,1724.450097263497
Tas,Animals,cattle dairy,2012,223,8191.577304361721
Tas,Animals,cattle dairy,2013,88,4329.815208136015
Tas,Animals,cattle dairy,2014,1,444.966003418
Tas,Animals,cattle dairy,2015,918,76627.76556801316
Tas,Animals,cattle dairy,2016,108,4091.548281751631
Tas,Animals,cattle dairy,2017,45,3434.880339980712
Tas,Animals,cattle dairy,2018,337,17256.394577961706
Tas,Animals,cattle dairy,2019,207,7586.508808583216
Tas,Animals,cattle dairy,2020,5,293.60560941696
Tas,Animals,cattle dairy,2021,3,306.54950332609997
Tas,Animals,cattle dairy,2022,2,145.4857025147
Tas,Animals,cattle meat,2010,5,405.37762069702
Tas,Animals,cattle meat,2015,4,551.8768005373
Tas,Animals,cattle meat,2016,1,30.9556007385
Tas,Animals,cattle meat,2017,13,219.735862612859
Tas,Animals,cattle meat,2018,11,4799.2720758963405
Tas,Animals,cattle meat,2019,2,102.2325029374
Tas,Animals,cattle meat,2020,1,152.113006592
Tas,Animals,cattle stud,2010,6,89.43939727545599
Tas,Animals,chickens,2010,10,87.86080932623
Tas,Animals,chickens,2012,4,52.50705003737
Tas,Animals,chickens,2014,4,9.8295699358
Tas,Animals,chickens,2019,4,7.028815031055
Tas,Animals,chickens eggs,2019,1,0.468291014433
Tas,Animals,chickens eggs,2021,1,2.00382995605
Tas,Animals,chickens meat,2017,3,4.991208016871
Tas,Animals,chickens meat,2018,7,23.950367242105
