Year,SA2_Name,Mean_Rainfall
2018,St Arnaud,33.38637856148959
2018,Stawell,33.38637856148959
2018,West Wimmera,33.38637856148959
2018,Yarriambiack,33.38637856148959
2018,Buloke,33.38637856148959
2018,Gannawarra,33.38637856148959
2018,Kerang,33.38637856148959
2018,Robinvale,33.38637856148959
2018,Echuca,33.38637856148959
2018,Kyabram,33.38637856148959
2018,Lockington - Gunbower,33.38637856148959
2018,Rochester,33.38637856148959
2018,Rushworth,33.38637856148959
2018,Moira,33.38637856148959
2018,Numurkah,33.38637856148959
2018,Yarrawonga,33.38637856148959
2018,Glenelg (Vic.),33.38637856148959
2018,Corangamite - North,33.38637856148959
2018,Moyne - East,33.38637856148959
2018,Moyne - West,33.38637856148959
2018,Deniliquin Region,33.38637856148959
2018,Benalla Region,33.38637856148959
2018,Wangaratta Region,33.38637856148959
2018,Shepparton Region - West,33.38637856148959
2018,Swan Hill Region,33.38637856148959
2018,Mildura Region,33.38637856148959
2018,Horsham Region,33.38637856148959
2018,Castlemaine Region,33.38637856148959
2018,Ararat Region,33.38637856148959
2018,Southern Grampians,33.38637856148959
2018,Albury - East,33.38637856148959
2018,Colac Region,33.38637856148959
2018,Bendigo Region - North,33.38637856148959
2018,Corowa Region,33.38637856148959
2018,Tocumwal - Finley - Jerilderie,33.38637856148959
2018,Scone Region,33.38637856148959
2018,Condobolin,33.38637856148959
2018,Inverell,33.38637856148959
2018,Inverell Region - East,33.38637856148959
2018,Forbes,33.38637856148959
2018,Inverell Region - West,33.38637856148959
2018,Grenfell,33.38637856148959
2018,Parkes (NSW),33.38637856148959
2018,Quirindi,33.38637856148959
2018,Parkes Region,33.38637856148959
2018,West Wyalong,33.38637856148959
2018,Leeton,33.38637856148959
2018,Narrandera,33.38637856148959
2018,Tumut Region,33.38637856148959
2018,Mudgee Region - West,33.38637856148959
2018,Cootamundra,33.38637856148959
2018,Gundagai,33.38637856148959
2018,Blayney,33.38637856148959
