Year,SA2_Name,Mean_Rainfall
2011,Yarrawonga,333.047222222222
2011,Glenelg (Vic.),155.98231292516996
2011,Corangamite - North,117.59752747252733
2011,Moyne - East,123.57635658914715
2011,Moyne - West,139.57786458333322
2011,Deniliquin Region,
2011,Benalla Region,386.23976608187115
2011,Wangaratta Region,
2011,Shepparton Region - West,141.49499999999983
2011,Swan Hill Region,87.81839477726561
2011,Mildura Region,75.02287993282943
2011,Horsham Region,128.08365384615374
2011,Castlemaine Region,107.77228682170531
2011,Ararat Region,124.11005747126423
2011,Southern Grampians,144.86223175965654
2011,Albury - East,
2011,Colac Region,112.18852201257846
2011,Bendigo Region - North,93.70028248587555
2011,Corowa Region,237.77808988764028
2011,Tocumwal - Finley - Jerilderie,157.79852693602678
2011,Scone Region,95.20098039215667
2011,Condobolin,39.77398071625328
2011,Inverell,75.80833333333315
2011,Inverell Region - East,68.30182987141427
2011,Forbes,88.19517045454528
2011,Inverell Region - West,63.43249185667735
2011,Grenfell,81.34295977011476
2011,Parkes (NSW),95.02083333333317
2011,Quirindi,98.20474254742527
2011,Parkes Region,75.00950155763222
2011,West Wyalong,64.91138211382098
2011,Leeton,122.45333333333316
2011,Narrandera,159.47480506822595
2011,Tumut Region,
2011,Mudgee Region - West,139.74612794612779
2011,Cootamundra,
2011,Gundagai,
2011,Blayney,194.93910256410237
2011,Junee,
2011,Orange Region,193.3584983498348
2011,Cowra Region,183.87415730337062
2011,Temora,86.58573717948701
2011,Grafton Region,77.37222222222202
2011,Yass Region,
2011,Young Region,90.38703703703688
2011,Wagga Wagga Region,151.48333333333318
2011,Griffith Region,73.44596078431357
2011,Deniliquin Region,74.80364155251127
2011,Coonamble,51.34965802735765
2011,Nyngan - Warren,46.57492378048764
2011,Walgett - Lightning Ridge,54.938354129530424
2011,Coonabarabran,68.14716167120783
2011,Bathurst Region,165.81111111111093
2011,Gilgandra,56.382271241829905
2011,Dubbo Region,97.02129629629611
2011,Narromine,58.619104803493265
2011,Gunnedah Region,72.35961538461521
2011,Albury Region,
2011,Tamworth Region,86.53731422505288
2011,Wellington,166.30608272506063
2011,Narrabri Region,52.4333699633698
2011,Moree Region,55.487692481883876
2011,Hay,66.91987179487164
2011,Wentworth-Balranald Region,66.65804668304654
2011,Pittsworth,64.19999999999982
2011,Wambo,65.29424603174584
2011,Roma Region,55.23903508771912
2011,Charleville,37.895833333333144
2011,Clifton - Greenmount,71.35797101449258
2011,Southern Downs - East,97.71980874316921
2011,Southern Downs - West,73.04115120274896
2011,Cambooya - Wyreema,67.90185185185167
2011,Central Highlands - East,56.136355721392846
2011,Central Highlands - West,39.76596811308332
2011,Banana,68.23151425762026
2011,Biloela,82.41666666666644
2011,Monto - Eidsvold,62.67155029093913
2011,Lockyer Valley - East,111.02083333333316
2011,Broadsound - Nebo,47.128655419222724
2011,Clermont,40.50326267664155
2011,Balonne,60.73351302785247
2011,Chinchilla,55.07936921296278
2011,Goondiwindi,41.816666666666485
2011,Inglewood - Waggamba,58.42816226023829
2011,Miles - Wandoan,59.67940723633546
2011,Tara,58.73886036960967
2011,Crows Nest - Rosalie,87.77766106442559
2011,Kingaroy Region - North,68.50693877551002
2011,Jondaryan,64.8870253164555
2011,Millmerran,62.74739263803662
2011,Port Pirie Region,54.74788557213916
2011,Barossa - Angaston,82.43858024691346
2011,Light,80.40077519379832
2011,Mallala,83.46083333333321
2011,Gawler - North,82.39444444444432
2011,Clare,65.29583333333323
2011,Lewiston - Two Wells,82.46249999999988
2011,Nhill Region,
2011,Gilbert Valley,71.93615384615372
2011,Goyder,70.65005518763783
2011,Wakefield - Barunga West,71.204890453834
2011,Jamestown,55.02643678160906
2011,Peterborough - Mount Remarkable,45.73555846422326
2011,Kadina,77.52812499999987
2011,Moonta,80.42948717948705
2011,Wallaroo,75.861111111111
2011,Yorke Peninsula - North,73.6419014084506
2011,Yorke Peninsula - South,71.82948717948706
2011,Ceduna,42.006372549019495
2011,Eyre Peninsula,65.54340753424641
2011,Kimba - Cleve - Franklin Harbour,57.53578643578629
2011,Le Hunte - Elliston,63.197266514806245
2011,Port Lincoln,65.61499999999985
2011,West Coast (SA),50.768774131274014
2011,Quorn - Lake Gilles,54.12699275362304
2011,Kangaroo Island,76.1975915221579
2011,Millicent,
2011,Penola,
2011,Tatiara,106.00540201005015
2011,Wattle Range,
2011,Mildura Region,
