SA2_CODE21,SA2_NAME21,STE_CODE21,SD_CODE11,SD_NAME11,SD_STATE_CODE,allocation_ratio,is_split_sa2,n_sd_overlaps
507011160,Spearwood,5,505,Perth,5,1.0,False,1
507011161,Success - Hammond Park,5,505,Perth,5,1.0,False,1
507011163,Yangebup,5,505,Perth,5,1.0,False,1
507011259,Beeliar - Wattleup,5,505,Perth,5,1.0,False,1
507011260,Jandakot,5,505,Perth,5,1.0,False,1
507021164,East Fremantle,5,505,Perth,5,1.0,False,1
507021165,Fremantle,5,505,Perth,5,1.0,False,1
507021166,Fremantle - South,5,505,Perth,5,1.0,False,1
507021167,O'Connor (WA),5,505,Perth,5,1.0,False,1
507031169,Wellard (West) - Bertram,5,505,Perth,5,1.0,False,1
507031170,Calista,5,505,Perth,5,1.0,False,1
507031172,Hope Valley - Postans,5,505,Perth,5,1.0,False,1
507031173,Kwinana Industrial,5,505,Perth,5,1.0,False,1
507031174,Parmelia - Orelia,5,505,Perth,5,1.0,False,1
507031261,Casuarina - Wandi,5,505,Perth,5,1.0,False,1
507041175,Applecross - Ardross,5,505,Perth,5,1.0,False,1
507041176,Bateman,5,505,Perth,5,1.0,False,1
507041177,Bicton - Palmyra,5,505,Perth,5,1.0,False,1
507041178,Booragoon,5,505,Perth,5,1.0,False,1
507041179,Bull Creek,5,505,Perth,5,1.0,False,1
507041180,Leeming,5,505,Perth,5,1.0,False,1
507041181,Melville,5,505,Perth,5,1.0,False,1
507041182,Murdoch - Kardinya,5,505,Perth,5,1.0,False,1
507041183,Willagee,5,505,Perth,5,1.0,False,1
507041184,Winthrop,5,505,Perth,5,1.0,False,1
507051186,Cooloongup,5,505,Perth,5,1.0,False,1
507051187,Port Kennedy,5,505,Perth,5,1.0,False,1
507051188,Rockingham,5,505,Perth,5,1.0,False,1
507051189,Rockingham Lakes,5,505,Perth,5,1.0,False,1
507051190,Safety Bay - Shoalwater,5,505,Perth,5,1.0,False,1
507051191,Singleton - Golden Bay - Secret Harbour,5,505,Perth,5,0.9999999886157981,True,2
507051191,Singleton - Golden Bay - Secret Harbour,5,510,South West,5,1.1384201938969871e-08,True,2
507051192,Waikiki,5,505,Perth,5,1.0,False,1
507051193,Warnbro,5,505,Perth,5,1.0,False,1
507051312,Baldivis - North,5,505,Perth,5,1.0,False,1
507051313,Baldivis - South,5,505,Perth,5,1.0,False,1
507051314,Karnup,5,505,Perth,5,0.9999997445635522,True,2
507051314,Karnup,5,510,South West,5,2.5543644780251093e-07,True,2
509011225,Albany,5,515,Lower Great Southern,5,1.0,False,1
509011226,Albany Surrounds,5,515,Lower Great Southern,5,1.0,False,1
